x   y   freq
13  10  0.13157895
13  11  0
13  12  0
13  13  0
13  14  0
13  15  0
13  16  0
13  17  0
13  18  0
13  19  0
13  20  0
13  21  0
13  22  0
13  23  0
13  24  0
13  25  0
13  26  0
13  27  0
13  28  0
13  29  0
13  30  0.026315790
13  31  0
13  32  0.052631579
13  33  0.18421052
13  34  0
13  35  0
13  36  0
13  37  0.078947365
13  38  0.39473686
13  39  0
13  40  0
13  41  0
13  42  0
13  43  0
13  44  0
13  45  0
13  46  0
13  47  0
13  48  0
13  49  0
13  50  0
13  51  0
13  52  0
13  53  0
13  54  0
13  55  0
13  56  0
13  57  0
13  58  0
13  59  0
13  60  0
13  61  0
13  62  0.078947365
13  63  0.026315790
13  64  0.026315790
13  65  0
13  66  0
13  67  0
13  68  0
